prefecture,spot_name,lat,lon,code
Aomori Prefecture,Ashino Park,40.91328922,140.4516426,2370012
Aomori Prefecture,Yaebenishidare in Hirosaki Park,40.609482,140.4677153,2370017
Iwate Prefecture,Hongo Cherry Blossom Avenue in Karutan Town,39.21030628,141.8778426,3370019
Iwate Prefecture,Goishi Coast,38.99131734,141.7421639,3370003
Iwate Prefecture,Nabekura Park,39.32620776,141.5273364,3370004
Iwate Prefecture,Tatsuyama Park,40.18892968,141.7674267,3370020
Iwate Prefecture,Chiaoyama Park,38.9252437,141.1291879,3370021
Iwate Prefecture,Chusonji Temple,39.00145508,141.1025866,3370024
Iwate Prefecture,Saigyo Sakura no Mori,39.00357576,141.1547621,3370027
Iwate Prefecture,Shizukuishikawa Park,39.68480974,140.9738558,3370028
Iwate Prefecture,Genbikei,38.94389028,141.0479038,3370006
Iwate Prefecture,Cherry blossom avenue along Prefectural Route 300 in Hiraizumi Town,38.98898664,141.1153361,3370007
Iwate Prefecture,Viewing Park,39.05014016,141.119303,3370008
Iwate Prefecture,Mizusawa Park,39.13583136,141.1400773,3370009
Iwate Prefecture,Heading north to the scenic spots,39.27504624,141.126672,3370010
Iwate Prefecture,Hanamaki Onsen,39.4519963,141.0690286,3370011
Iwate Prefecture,Hanamaki Minami Onsen Gorge,39.41787897,141.0129649,3370012
Iwate Prefecture,Morioka Castle Ruins Park (Iwate Park),39.70039117,141.1514103,3370014
Iwate Prefecture,Takamatsu Pond,39.72354855,141.14285,3370015
Iwate Prefecture,Koiwai Farm,39.75074345,141.0173092,3370016
Iwate Prefecture,Yonai Water Purification Plant,39.7449673,141.2023841,3370022
Iwate Prefecture,Tono Fukusenji Temple,39.37198349,141.5631313,3370018
Iwate Prefecture,Kunohe Castle Ruins,40.26758316,141.3033716,3370029
Iwate Prefecture,Mount Murone Anthill Park,38.96282517,141.44362,3370001
Iwate Prefecture,Tateyama Park,38.9157383,141.3347912,3370005
Iwate Prefecture,Moetsu Temple,38.9871367,141.1075468,3370025
Iwate Prefecture,Shiwa Joyama Park,39.56458608,141.1732048,3370013
Miyagi Prefecture,Ohira Castle Ruins Park,38.46177892,140.8802899,4370002
Miyagi Prefecture,Daheng Central Park,38.47357756,140.8748598,4370003
Miyagi Prefecture,Yakurai Mountain,38.57187432,140.7184683,4370021
Miyagi Prefecture,West Park,38.26014017,140.8619907,4370023
Miyagi Prefecture,Matsuyama Gohonmaru Park,38.5072271,141.0544233,4370028
Miyagi Prefecture,Shiroishi Castle Main Keep Plaza,38.00231347,140.6174029,4370006
Miyagi Prefecture,Shiroishi River Embankment Ichitmeki Senbonzakura,38.04852064,140.7380707,4370007
Miyagi Prefecture,Funaoka Castle Ruins Park,38.05509031,140.7593287,4370008
Miyagi Prefecture,Shiwahiko Shrine Shiogama Shrine,38.31916652,141.0146853,4370010
Miyagi Prefecture,Hiyoriyama Park,38.42337048,141.3069862,4370012
Miyagi Prefecture,Oshika Peninsula Kinkasan,38.29733824,141.5519517,4370013
Miyagi Prefecture,Shiroyama Park,38.54523438,141.1313352,4370014
Miyagi Prefecture,Tsurugaoka Park,38.26040075,140.8965778,4370024
Miyagi Prefecture,Michinoku Mori no Kohan Park (Somei Yoshino),38.18028531,140.6675305,4370025
Miyagi Prefecture,Michinoku Mori no Kohan Park (Yamazakura),38.18033531,140.6675005,4370026
Miyagi Prefecture,Teraike Castle Ruins Park,38.65490527,141.2814177,4370029
Miyagi Prefecture,"Tateyama Park (Sambongi, Osaki City)",38.52460341,140.9496612,4370018
Miyagi Prefecture,Rias Blue Line,38.43994152,141.4678121,4370001
Miyagi Prefecture,Kesennuma Kamiyama River Riverside,38.88659528,141.5556542,4370027
Miyagi Prefecture,Mikamine Park,38.22504384,140.8573327,4370009
Miyagi Prefecture,"Haguroyama Park (Matsuyama, Osaki City)",38.50951679,141.0504636,4370016
Miyagi Prefecture,Kesennuma Oshima & Kameyama,38.87337778,141.6179097,4370005
Miyagi Prefecture,Asahiyama Prefectural Natural Park,38.48820135,141.1809237,4370015
Miyagi Prefecture,Saigyo Return-to-Matsu Park,38.36655213,141.0533999,4370011
Akita Prefecture,Butsuzawa Park,39.43150054,140.6134674,5370001
Akita Prefecture,Ichijogi Park,39.46743658,140.6068463,5370002
Akita Prefecture,Odate City Beniyama Nature Park,40.12685727,140.6768101,5370003
Akita Prefecture,Yashio Ikoi no Mori,39.26256209,140.2400162,5370006
Akita Prefecture,Gosho-no-dai Fureai Park,40.38870718,139.9851655,5370007
Akita Prefecture,Takanosu Central Park,40.21494265,140.3793508,5370023
Akita Prefecture,Guicheng Park,40.27254973,140.5647727,5370021
Akita Prefecture,Noshiro City Hall Sakura Garden,40.21171684,140.0268402,5370026
Akita Prefecture,Cherry blossoms along the Ani River,40.00163583,140.4002989,5370027
Akita Prefecture,Sakura & Nanohana Road,39.99138992,139.9990227,5370028
Akita Prefecture,Maemori Park,39.17387599,140.4931493,5370010
Akita Prefecture,Real Man Park,39.20964355,140.572501,5370011
Akita Prefecture,Yokote Park,39.32055164,140.5698561,5370012
Akita Prefecture,Chiaki Park,39.72070107,140.1245847,5370013
Akita Prefecture,Kimimachi Osaka Park,40.22132982,140.2562407,5370014
Akita Prefecture,Shizhi Park,39.26553624,139.9236723,5370015
Akita Prefecture,Honjo Park,39.38471566,140.0474966,5370016
Akita Prefecture,Yaotome Park,39.53481784,140.5194005,5370017
Akita Prefecture,Somei Yoshino Cherry on the Hinokiuchi River Embankment,39.59563205,140.5602143,5370018
Akita Prefecture,Suzukadate Park (Gojome Town),39.9389677,140.1237047,5370020
Yamagata Prefecture,Cherry blossom row along the Shiramizu River embankment,38.44672164,140.3714228,6370001
Yamagata Prefecture,Donomae Park,38.45162165,140.4017701,6370002
Yamagata Prefecture,Kubo cherry in Isazawa,38.09426403,140.0670344,6370003
Yamagata Prefecture,Umamigasaki Sakura Line,38.24738276,140.359953,6370021
Yamagata Prefecture,Mogami River Embankment Senbonzakura,38.10726224,140.0444156,6370022
Yamagata Prefecture,Kusaoka's Daimyojin Cherry Blossoms,38.13552858,140.0081673,6370025
Yamagata Prefecture,Tateyama Park,38.78956804,139.97479,6370029
Yamagata Prefecture,Shimbashi Ryokuchi,38.92204174,139.8525741,6370030
Yamagata Prefecture,Zhongshan Riverside Park,39.05807822,139.9114829,6370031
Yamagata Prefecture,Matsugasaki Park,37.90915448,140.1047397,6370006
Yamagata Prefecture,Eboshiyama Park,38.0506804,140.1649482,6370007
Yamagata Prefecture,Kaminoyama Castle & Tsukioka Park,38.15805087,140.276724,6370008
Yamagata Prefecture,Miyuki Park,38.17219974,140.2992015,6370009
Yamagata Prefecture,Xiacheng Park,38.25541138,140.3295751,6370010
Yamagata Prefecture,Tendo Park (Maizuruyama),38.35416162,140.3756068,6370011
Yamagata Prefecture,Higashizawa Park,38.48155848,140.4039185,6370012
Yamagata Prefecture,Mogami Park,38.76656607,140.2936046,6370013
Yamagata Prefecture,Sagae Park,38.38481646,140.2680643,6370014
Yamagata Prefecture,Daisen Park,38.75374811,139.7591196,6370015
Yamagata Prefecture,Tsuruoka Park,38.72943185,139.8242653,6370016
Yamagata Prefecture,Atsumi Onsen Atsumi River Banks,38.61531029,139.6085984,6370017
Yamagata Prefecture,Hiyoriyama Park,38.91992153,139.8274362,6370018
Yamagata Prefecture,Mahoroba Greenway,37.99376628,140.1532118,6370026
Fukushima Prefecture,Cherry blossom trees along the Kuji River riverside,36.95599175,140.4088684,7370002
Fukushima Prefecture,Kangetsudai Park,37.8768056,140.5427949,7370003
Fukushima Prefecture,Natsui Senbonzakura,37.25681384,140.6535642,7370006
Fukushima Prefecture,Shiroyama Park & Otome Cherry Blossoms,37.13272943,140.2136064,7370008
Fukushima Prefecture,Changjian Temple,37.15831809,140.2935686,7370012
Fukushima Prefecture,Yamatsuriyama Park,36.85167263,140.3932345,7370013
Fukushima Prefecture,Torimiyama Park,37.24948939,140.3538894,7370041
Fukushima Prefecture,Hanamiyama Park,37.73810961,140.4959451,7370035
Fukushima Prefecture,Sasaharagawa Senbonzakura,37.33733816,140.2486641,7370036
Fukushima Prefecture,Cherry blossom rows along the Imadegawa and Kitasugawa rivers,37.14659213,140.4529259,7370048
Fukushima Prefecture,Fujitagawa Fureai Cherry Blossoms,37.45375736,140.3432409,7370051
Fukushima Prefecture,Tanagura Castle Ruins (Kamega Castle Park),37.02983344,140.3856569,7370069
Fukushima Prefecture,Aizu Samurai Residences,37.48533718,139.9538618,7370074
Fukushima Prefecture,Cherry blossoms at Yunokami Onsen Station,37.30364559,139.895425,7370075
Fukushima Prefecture,Kaichengshan Park,37.39801358,140.3579322,7370022
Fukushima Prefecture,"Snake Nose, a Land of Flowers and History",37.5137815,140.3753755,7370024
Fukushima Prefecture,Kasumigajo Park,37.59793346,140.430447,7370025
Fukushima Prefecture,Dake Onsen,37.60587134,140.3573427,7370026
Fukushima Prefecture,Miyagawa Senbonzakura,37.45673831,139.8436323,7370055
Fukushima Prefecture,Tsurugajo Park,37.4877465,139.9297637,7370029
Fukushima Prefecture,Fukuman Kokuzo Bosatsu Enzo-ji Temple,37.53303807,139.7246386,7370040
Fukushima Prefecture,Baihe Xiaofeng City,37.13152955,140.2129566,7370058
Fukushima Prefecture,Waterside Park,37.13382771,140.121724,7370059
Fukushima Prefecture,Shiki no Sato Ryokusuien,37.47192523,140.332561,7370061
Fukushima Prefecture,Ozawa Cherry Blossoms,37.4197752,140.5840225,7370064
Fukushima Prefecture,Suzugaoka Hachiman Shrine,37.77704268,140.909799,7370070
Fukushima Prefecture,Soma Kodaka Shrine,37.56887635,140.9902419,7370076
Fukushima Prefecture,Near the right side of the clear water,37.87462187,140.8886262,7370077
Fukushima Prefecture,Iwaki City Flower Center,37.08960608,140.9027012,7370073
Fukushima Prefecture,Miyukiyama Park,37.00618405,140.8478596,7370079
Fukushima Prefecture,Nakamura Castle Ruins Park Maryo Park,37.79769056,140.9149976,7370030
Fukushima Prefecture,Matsugaoka Park,37.05494944,140.8828145,7370031
Fukushima Prefecture,Nakoso Barrier Ruins,36.86859759,140.7809615,7370032
Fukushima Prefecture,Taira Central Park,37.05062002,140.8892441,7370057
Fukushima Prefecture,Izumisaki Village Satsuki Park,37.15528884,140.3177168,7370033
Fukushima Prefecture,Night Forest Park,37.36691808,140.9975906,7370014
Fukushima Prefecture,Municipal Ranches,37.5701302,140.0737079,7370043
Fukushima Prefecture,Kanonji River,37.53831476,140.1398939,7370045
Fukushima Prefecture,Showa Forest,37.57517956,140.0677582,7370046
Fukushima Prefecture,Kamega Castle Ruins,37.5610117,140.1035059,7370028
Fukushima Prefecture,Tenjin Cape Sports Park,37.26872885,141.0129938,7370004
Tokyo Metropolis,Showa Memorial Park,35.71244705,139.3948798,13370001
Tokyo Metropolis,Nishiarai Daishi,35.78014653,139.7799947,13370003
Tokyo Metropolis,Cherry blossoms on the salt field embankment,35.73978175,139.2590699,13370005
Tokyo Metropolis,Yomiuri Land,35.62574847,139.5179036,13370051
Tokyo Metropolis,Ikegami Honmonji Temple,35.57821684,139.7058802,13370028
Tokyo Metropolis,Jindai Botanical Garden,35.67134408,139.5459392,13370060
Tokyo Metropolis,Chidorigafuchi Greenway,35.69081552,139.7474116,13370029
Tokyo Metropolis,Yasukuni Shrine,35.69403509,139.7428918,13370031
Tokyo Metropolis,Tatsumi no Mori Greenway Park,35.64635145,139.814728,13370054
Tokyo Metropolis,Shiba Park,35.65508932,139.7460833,13370006
Tokyo Metropolis,Kinuta Park,35.62884994,139.6213849,13370007
Tokyo Metropolis,Tokyo Metropolitan Hikarigaoka Park,35.76374563,139.6282081,13370008
Tokyo Metropolis,Hamarikyu Gardens,35.66084898,139.7621317,13370009
Tokyo Metropolis,The old Zhi Detached Palace and the graced garden,35.65450959,139.7585423,13370010
Tokyo Metropolis,Koishikawa Korakuen,35.70493401,139.7477109,13370011
Tokyo Metropolis,Former Iwasaki Residence Garden,35.70933389,139.767629,13370012
Tokyo Metropolis,Rikugien,35.73248108,139.7483896,13370013
Tokyo Metropolis,Mukoshima Hyakuken Garden,35.72418313,139.8149344,13370014
Tokyo Metropolis,Kiyosumi Garden,35.68063748,139.7976379,13370015
Tokyo Metropolis,Old Furukawa Garden,35.74196003,139.7465293,13370016
Tokyo Metropolis,Tokyo Metropolitan Musashino Park,35.68789187,139.5205205,13370032
Tokyo Metropolis,Takiyama Park,35.70134709,139.3291958,13370033
Tokyo Metropolis,Zenpukuji River Green Space & Wadabori Park,35.69065352,139.6323711,13370034
Tokyo Metropolis,Otonashi Waterside Park,35.75261871,139.7359997,13370055
Tokyo Metropolis,Shakujii Park,35.7392577,139.5966118,13370056
Tokyo Metropolis,Tokyo Midtown Midtown Garden,35.66744772,139.730414,13370058
Tokyo Metropolis,Sumida Park,35.71214423,139.8040559,13370017
Tokyo Metropolis,Tokyo Metropolitan Yoyogi Park,35.6693369,139.6951969,13370040
Tokyo Metropolis,Ueno Onshi Park,35.7140535,139.7741983,13370018
Tokyo Metropolis,Asuka Mountain Park,35.750359,139.7390195,13370035
Tokyo Metropolis,Mizumoto Park,35.78628744,139.869497,13370036
Tokyo Metropolis,Komazawa Olympic Park,35.62403113,139.6597319,13370037
Tokyo Metropolis,Inokashira Onshi Park,35.70082143,139.5744355,13370020
Tokyo Metropolis,Koganei Park,35.714359,139.5185995,13370021
Tokyo Metropolis,Sayama Park,35.76316245,139.4426235,13370022
Tokyo Metropolis,Hamura Weir,35.75541095,139.309085,13370023
Tokyo Metropolis,Lake Okutama,35.79258242,139.048015,13370024
Tokyo Metropolis,Meguro River,35.64541953,139.6992476,13370042
Tokyo Metropolis,Ukima Park,35.79497344,139.6935912,13370044
Tokyo Metropolis,Toyama Park,35.70766297,139.7046643,13370045
Tokyo Metropolis,Tokyo Metropolitan Toneri Park,35.79623459,139.767395,13370046
Tokyo Metropolis,Hōmyō Temple,35.72435134,139.7137728,13370047
Tokyo Metropolis,Meiji Jingu Gaien,35.67874629,139.7176346,13370057
Tokyo Metropolis,Kama-no-Fuchi Park,35.7847569,139.256568,13370061
Tokyo Metropolis,Fussa City Tama River Embankment,35.72355473,139.3305747,13370062
Tokyo Metropolis,Ridge Greenway,35.58610521,139.4034241,13370004
Tokyo Metropolis,Shinjuku Gyoen,35.6881643,139.7076078,13370019
Tokyo Metropolis,Yaesu Sakura Street,35.68123949,139.7714389,13370043
Tokyo Metropolis,Kanda Myojin,35.70189305,139.7679535,13370050
Tokyo Metropolis,Waimoat Park,35.69512492,139.739902,13370049
Tokyo Metropolis,Roppongi Hills Mouri Garden / Roppongi Sakura-zaka,35.66050847,139.7307343,13370052
Tokyo Metropolis,Ark Hills,35.66655798,139.7396733,13370038
Tokyo Metropolis,Sendai Horikawa Park,35.68393785,139.8390243,13370053
Tokyo Metropolis,Harimazaka,35.71671266,139.7422508,13370048
Ibaraki Prefecture,Sai Lin Temple,36.07133687,140.4375467,8370004
Ibaraki Prefecture,Kokeiji Temple,36.04406173,139.9761163,8370007
Ibaraki Prefecture,Mizukaido Asunaro no Sato,36.00513496,139.9229025,8370008
Ibaraki Prefecture,Yoshino Park,36.07514884,140.0008828,8370009
Ibaraki Prefecture,Uruno Park,36.54819558,140.4211961,8370010
Ibaraki Prefecture,Tatsunokuchi Waterside Park,36.59165092,140.4204942,8370011
Ibaraki Prefecture,Omiya Nature Park,36.52916732,140.4040584,8370012
Ibaraki Prefecture,Amehiki Kannon,36.33114353,140.1199311,8370020
Ibaraki Prefecture,Qianbo Park,36.36809546,140.4562715,8370024
Ibaraki Prefecture,Sajiro Sanroku Park,36.3841703,140.2596871,8370025
Ibaraki Prefecture,Kaminoike Green Park,35.8904402,140.6651861,8370026
Ibaraki Prefecture,Fukuoka Weir Cherry Blossom Avenue,36.04018306,140.0285021,8370027
Ibaraki Prefecture,Haguroyama Park,35.99026629,140.4803269,8370022
Ibaraki Prefecture,Hitachi Fudoki Hill,36.20707891,140.2402469,8370028
Ibaraki Prefecture,Heiwa Street,36.59575456,140.6541246,8370029
Ibaraki Prefecture,Kamine Park,36.60870323,140.6573537,8370013
Ibaraki Prefecture,Kijo Park (Tsuchiura Castle Ruins),36.08467127,140.198506,8370014
Ibaraki Prefecture,Around Hojo Oike,36.17619983,140.1042696,8370015
Ibaraki Prefecture,Mount Atago,36.2904702,140.252662,8370016
Ibaraki Prefecture,Sakurayama Park,36.37526454,140.4478519,8370021
Ibaraki Prefecture,Shizumine Furusato Park,36.5010606,140.4201484,8370017
Ibaraki Prefecture,Nishiyama Park,36.54227784,140.5143387,8370018
Ibaraki Prefecture,Castle Ruins Historical Park,36.30794192,139.8854017,8370019
Ibaraki Prefecture,Sakura Space Park,36.69875426,140.6952264,8370033
Ibaraki Prefecture,Juo Panorama Park,36.66994681,140.6645103,8370006
Ibaraki Prefecture,Isobe Sakuragawa Park,36.36516018,140.1364882,8370002
Tochigi Prefecture,Mibu Town General Park,36.46146417,139.8094209,9370002
Tochigi Prefecture,Ukemori Park,36.88963107,139.9638184,9370014
Tochigi Prefecture,Shiroyama Park,36.31866928,139.7998683,9370003
Tochigi Prefecture,Nagamine Park,36.81129899,139.9377642,9370019
Tochigi Prefecture,Senjuyama Park,36.57283112,139.7444312,9370005
Tochigi Prefecture,Katayama Park,36.41086615,139.6127596,9370006
Tochigi Prefecture,Shiroyama Park,36.31856543,139.5789466,9370008
Tochigi Prefecture,Shinonome Park,36.42848764,139.8061527,9370009
Tochigi Prefecture,Longcheng Park,36.86846457,140.0344435,9370015
Tochigi Prefecture,Ryumon Waterfall,36.64492032,140.139795,9370022
Tochigi Prefecture,Sanwa Housing Nishinasu Sports Plaza,36.89953045,139.9890958,9370023
Tochigi Prefecture,Nogi Sandō,36.88684203,140.0018654,9370024
Tochigi Prefecture,Omoigawa Sakura Embankment: Omoigawa Cherry Blossom Row,36.31502957,139.7941989,9370025
Tochigi Prefecture,Senbonmatsu Farm,36.92375689,139.9333393,9370029
Tochigi Prefecture,Victoria Peak,36.36009304,139.696345,9370010
Tochigi Prefecture,Kuroiso Park,36.97659334,140.0538069,9370016
Tochigi Prefecture,Okinzakura Zutsumi Walking Trail,36.65947826,140.1108768,9370027
Tochigi Prefecture,Yu-Yu Park,36.67303407,139.9541292,9370028
Tochigi Prefecture,Hachimanyama Park,36.57023388,139.8860995,9370011
Tochigi Prefecture,Kashinomori Park,36.57200592,140.0138989,9370012
Tochigi Prefecture,Fujiyama Nature Park,36.57801635,140.0753235,9370013
Gunma Prefecture,Sakurayama Park,36.16579203,139.02153,10370001
Gunma Prefecture,Weeping Cherry Blossoms at Myogi Shrine,36.30094308,138.7641451,10370003
Gunma Prefecture,Takasaki Castle Ruins Park,36.3240348,139.0040841,10370006
Gunma Prefecture,Jonouchi Park,36.26187862,139.4141729,10370010
Gunma Prefecture,Numata Park (Numata Castle Ruins),36.64833071,139.0382264,10370011
Gunma Prefecture,Tomioka Silk Mill,36.25426024,138.887897,10370021
Gunma Prefecture,Kyūboku River,36.23797095,139.4016451,10370022
Gunma Prefecture,Takasaki Kannon Mountain,36.3109458,138.9810566,10370013
Gunma Prefecture,Taking Flight to the Future: Yamada Manufacturing Kiryugaoka Zoo,36.41988041,139.3395519,10370014
Gunma Prefecture,Akagi South Face Senbonzakura,36.47344207,139.1898818,10370015
Gunma Prefecture,Somei Yoshino from Ikaho Green Farm,36.49878509,138.945371,10370020
Gunma Prefecture,Laoshen Hot Springs,36.67120126,139.2097411,10370018
Gunma Prefecture,Yaezakura at Ikaho Green Farm,36.49878509,138.945351,10370017
Gunma Prefecture,Gezoji Park,36.34254623,139.1989871,10370016
Gunma Prefecture,Sakura no Sato,36.28609434,138.7449574,10370007
Gunma Prefecture,Minakami Onsen (near Suwa Gorge),36.76406713,138.9691568,10370019
Saitama Prefecture,Sakura Embankment Park,36.02949469,139.4841078,11370018
Saitama Prefecture,Around Yoshimi Hyakuana,36.03966251,139.4216825,11370019
Saitama Prefecture,Satte Gongendo Sakuratsutsumi (Prefectural Gongendo Park),36.09249213,139.7232151,11370002
Saitama Prefecture,Shiroyama Park,35.99001964,139.5253662,11370005
Saitama Prefecture,"Lake Naguri, Hannō City",35.87525567,139.1679012,11370006
Saitama Prefecture,Sayama Inariyama Prefectural Park,35.84571285,139.3984434,11370007
Saitama Prefecture,Sugito West Neighborhood Park,36.04968645,139.7085283,11370008
Saitama Prefecture,Tokikawa Sakura Embankment,36.03262157,139.324331,11370011
Saitama Prefecture,Musashi Kyuryo National Government Park,36.06980833,139.3668557,11370023
Saitama Prefecture,Kodama Senbonzakura,36.18210235,139.1394494,11370024
Saitama Prefecture,Takao Sakura Park,36.02496557,139.5065262,11370028
Saitama Prefecture,Jogaya Embankment,36.01055709,139.5056069,11370029
Saitama Prefecture,Iwatsuki Castle Ruins Park,35.95128704,139.7119925,11370032
Saitama Prefecture,Tokorozawa Aviation Memorial Park,35.79560952,139.4733895,11370036
Saitama Prefecture,Tenranzan & Chuo Park,35.85860994,139.3108001,11370047
Saitama Prefecture,Wakaizumi Park,36.24392651,139.1839329,11370037
Saitama Prefecture,Numabe Park,35.89161597,139.8581731,11370038
Saitama Prefecture,Ina Town Musen Mountain Cherry Blossom Row,35.98652164,139.6184387,11370040
Saitama Prefecture,Sakura-no-yama Park,35.96377838,139.2926568,11370041
Saitama Prefecture,Ciguangshan Historical Park,36.01038234,139.2324496,11370042
Saitama Prefecture,Somei Yoshino Cherry Blossoms in Binoyama Park,36.05646534,139.1139673,11370043
Saitama Prefecture,Shiroyama Inari Shrine,36.24384667,139.1922422,11370045
Saitama Prefecture,Misato Park,35.78686743,139.8727267,11370046
Saitama Prefecture,Tsurugashima City Sports Park,35.92269463,139.3991298,11370050
Saitama Prefecture,Yamazakura in Minoyama Park,36.05650534,139.1138773,11370051
Saitama Prefecture,Seibuen Amusement Park,35.76937175,139.4403034,11370052
Saitama Prefecture,Tobu Zoo,36.02026978,139.7187688,11370053
Saitama Prefecture,Sun Amenity Kitamoto Camp Field,36.02253585,139.5075162,11370055
Saitama Prefecture,Shinobi City,36.13793256,139.4533554,11370058
Saitama Prefecture,Marubaka Mountain Kofun,36.12929392,139.4785037,11370059
Saitama Prefecture,Ancient Lotus Village,36.13081414,139.5005618,11370060
Saitama Prefecture,Kamakita Lake,35.91639343,139.291569,11370012
Saitama Prefecture,Kumagaya Sakurazuttsumi,36.13620154,139.3846212,11370013
Saitama Prefecture,Nagatoro,36.0995307,139.1117255,11370014
Saitama Prefecture,Shiroyama Park,36.19322095,139.1272299,11370016
Saitama Prefecture,Omiya Park,35.91863911,139.6304808,11370017
Saitama Prefecture,Sakura Street,35.88140687,139.8467845,11370020
Saitama Prefecture,Yono Park,35.88136286,139.6169936,11370022
Saitama Prefecture,Sakura Embankment on the Karasawa River,36.19119383,139.2800473,11370001
Saitama Prefecture,Kotone River Embankment,35.92370163,139.805716,11370010
Saitama Prefecture,Yudono Riverbank,36.11100092,139.1950081,11370049
Saitama Prefecture,Konosu Park,36.05453256,139.5151241,11370030
Saitama Prefecture,Cherry Blossom Avenue of Moto-Arakawa River,36.10641594,139.4540468,11370031
Saitama Prefecture,Kita-Koshigaya Moto-Arakawa Embankment,35.89847375,139.7729899,11370003
Saitama Prefecture,Hitsujiyama Park,35.98306273,139.0872229,11370033
Chiba Prefecture,Izumi Nature Park,35.57710602,140.2250471,12370021
Chiba Prefecture,Municipal Memorial Park,35.7821703,140.0081357,12370023
Chiba Prefecture,Konakaike Park,35.51593365,140.2873948,12370024
Chiba Prefecture,local temple,35.84019271,139.9287996,12370001
Chiba Prefecture,Inohana Park,35.60479134,140.126414,12370002
Chiba Prefecture,Koke Shrine,34.96248695,139.9496183,12370005
Chiba Prefecture,Minamiboso City Chikura General Sports Park,34.97223583,139.9452282,12370006
Chiba Prefecture,Narita Yume Farm,35.86928775,140.3954895,12370026
Chiba Prefecture,Obō Cape Nature Park,35.03892639,139.8132861,12370029
Chiba Prefecture,Chiba City Zoological Park,35.64542701,140.1273221,12370028
Chiba Prefecture,Naritasan Park,35.78584539,140.3220295,12370009
Chiba Prefecture,Mobara Park,35.43030276,140.2845989,12370011
Chiba Prefecture,Sakura Castle Ruins Park,35.72208036,140.2161712,12370012
Chiba Prefecture,Lake Yatsuru,35.56113004,140.3572369,12370013
Chiba Prefecture,Shiroyama Park,34.98195326,139.8572251,12370014
Chiba Prefecture,Omigawa Shiroyama Park,35.85937227,140.5936935,12370015
Chiba Prefecture,Katori Shrine,35.88604828,140.5287077,12370016
Chiba Prefecture,Otayama Park,35.37971212,139.9379601,12370017
Chiba Prefecture,Chiba Children's Country KidsDom,35.48949378,140.1327088,12370025
Chiba Prefecture,Chiba Park,35.61873968,140.1169042,12370019
Chiba Prefecture,Shimizu Park,35.95827875,139.8530405,12370020
Chiba Prefecture,Mother Ranch,35.24515658,139.941506,12370010
Chiba Prefecture,Sawara Park (Suwa Park),35.88938724,140.4895708,12370004
Chiba Prefecture,Sogo Reido,35.76160724,140.2795541,12370008
Kanagawa Prefecture,Mitsuike Prefectural Park,35.52305195,139.6607165,14370016
Kanagawa Prefecture,Iiyama Hakusan Forest Park,35.47211117,139.3045884,14370001
Kanagawa Prefecture,Cherry blossoms around Tsukui Lake Shiroyama Park,35.58688847,139.2800652,14370003
Kanagawa Prefecture,Shiroyama Park,35.4383668,139.4198704,14370004
Kanagawa Prefecture,Ayanishi Green Space,35.43404708,139.4093915,14370006
