place_code,date,mankai_date,kaika_date,meter,ft,tavg,tmin,tmax,tavg_f,tmin_f,tmax_f,prcp,pcp_in
2370009,2/1/24,4/30/24,4/26/24,14,4.2672,-1.9,-6,4,28.58,21.2,39.2,0.4,0.01574804
2370010,2/1/24,4/24/24,4/20/24,15,4.572,-0.9,-4.3,4.9,30.38,24.26,40.82,6.2,0.24409462
2370018,2/1/24,4/27/24,4/22/24,14,4.2672,-4.2,-7.6,1.9,24.44,18.32,35.42,7.4,0.29133874
2370011,2/1/24,4/26/24,4/21/24,13,3.9624,-4.2,-7.6,1.9,24.44,18.32,35.42,7.4,0.29133874
2370012,2/1/24,4/29/24,4/23/24,13,3.9624,-0.9,-4.3,4.9,30.38,24.26,40.82,6.2,0.24409462
2370017,2/1/24,4/29/24,4/24/24,12,3.6576,-4.2,-7.6,1.9,24.44,18.32,35.42,7.4,0.29133874
3370019,2/1/24,4/20/24,4/15/24,18,5.4864,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
3370003,2/1/24,4/19/24,4/13/24,17,5.1816,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
3370004,2/1/24,4/29/24,4/23/24,15,4.572,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
3370020,2/1/24,4/26/24,4/20/24,16,4.8768,,,,32,32,32,,0
3370021,2/1/24,4/18/24,4/12/24,16,4.8768,,,,32,32,32,,0
3370024,2/1/24,4/18/24,4/13/24,16,4.8768,,,,32,32,32,,0
3370027,2/1/24,4/21/24,4/15/24,17,5.1816,,,,32,32,32,,0
3370028,2/1/24,4/29/24,4/24/24,15,4.572,1.2,-3.8,4.7,34.16,25.16,40.46,0.9,0.03543309
3370006,2/1/24,4/20/24,4/14/24,16,4.8768,,,,32,32,32,,0
3370007,2/1/24,4/17/24,4/11/24,17,5.1816,,,,32,32,32,,0
3370008,2/1/24,4/19/24,4/13/24,18,5.4864,,,,32,32,32,,0
3370009,2/1/24,4/18/24,4/11/24,20,6.096,0.7,-5.5,5,33.26,22.1,41,0.9,0.03543309
3370010,2/1/24,4/23/24,4/15/24,17,5.1816,0.7,-5.5,5,33.26,22.1,41,0.9,0.03543309
3370011,2/1/24,4/26/24,4/20/24,16,4.8768,0.7,-5.5,5,33.26,22.1,41,0.9,0.03543309
3370012,2/1/24,4/27/24,4/22/24,15,4.572,0.7,-5.5,5,33.26,22.1,41,0.9,0.03543309
3370014,2/1/24,4/22/24,4/16/24,17,5.1816,1.2,-3.8,4.7,34.16,25.16,40.46,0.9,0.03543309
3370015,2/1/24,4/24/24,4/19/24,16,4.8768,1.2,-3.8,4.7,34.16,25.16,40.46,0.9,0.03543309
3370016,2/1/24,5/3/24,4/29/24,14,4.2672,1.2,-3.8,4.7,34.16,25.16,40.46,0.9,0.03543309
3370022,2/1/24,5/3/24,4/29/24,12,3.6576,1.2,-3.8,4.7,34.16,25.16,40.46,0.9,0.03543309
3370018,2/1/24,4/28/24,4/23/24,16,4.8768,,,,32,32,32,,0
3370029,2/1/24,4/26/24,4/22/24,15,4.572,-1.5,-6,4.6,29.3,21.2,40.28,0.1,0.00393701
3370001,2/1/24,4/28/24,4/23/24,18,5.4864,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
3370005,2/1/24,4/23/24,4/16/24,17,5.1816,,,,32,32,32,,0
3370025,2/1/24,4/17/24,4/9/24,17,5.1816,,,,32,32,32,,0
3370013,2/1/24,4/25/24,4/20/24,15,4.572,0.7,-5.5,5,33.26,22.1,41,0.9,0.03543309
4370002,2/1/24,4/15/24,4/11/24,18,5.4864,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370003,2/1/24,4/16/24,4/11/24,18,5.4864,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370021,2/1/24,4/22/24,4/18/24,17,5.1816,,,,32,32,32,,0
4370023,2/1/24,4/13/24,4/8/24,15,4.572,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370028,2/1/24,4/16/24,4/11/24,19,5.7912,2.3,-3,5.9,36.14,26.6,42.62,0,0
4370006,2/1/24,4/10/24,4/3/24,19,5.7912,5,-1.2,11,41,29.84,51.8,0,0
4370007,2/1/24,4/9/24,4/3/24,22,6.7056,5,-1.2,11,41,29.84,51.8,0,0
4370008,2/1/24,4/12/24,4/6/24,17,5.1816,5,-1.2,11,41,29.84,51.8,0,0
4370010,2/1/24,4/21/24,4/14/24,13,3.9624,2.9,-3.2,9,37.22,26.24,48.2,0,0
4370012,2/1/24,4/14/24,4/7/24,17,5.1816,0.8,-4.4,8.1,33.44,24.08,46.58,0,0
4370013,2/1/24,4/13/24,4/6/24,17,5.1816,0.8,-4.4,8.1,33.44,24.08,46.58,0,0
4370014,2/1/24,4/17/24,4/9/24,20,6.096,2.3,-3,5.9,36.14,26.6,42.62,0,0
4370024,2/1/24,4/13/24,4/6/24,15,4.572,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370025,2/1/24,4/14/24,4/8/24,18,5.4864,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370026,2/1/24,4/20/24,4/14/24,16,4.8768,4.7,-0.3,7.3,40.46,31.46,45.14,0,0
4370029,2/1/24,4/15/24,4/11/24,17,5.1816,0.8,-4.4,8.1,33.44,24.08,46.58,0,0
4370018,2/1/24,4/16/24,4/11/24,18,5.4864,2.3,-3,5.9,36.14,26.6,42.62,0,0
4370001,2/1/24,4/17/24,4/11/24,16,4.8768,0.8,-4.4,8.1,33.44,24.08,46.58,0,0
4370027,2/1/24,4/19/24,4/15/24,16,4.8768,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
4370009,2/1/24,4/12/24,4/9/24,15,4.572,2.9,-3.2,9,37.22,26.24,48.2,0,0
4370016,2/1/24,4/18/24,4/14/24,18,5.4864,2.3,-3,5.9,36.14,26.6,42.62,0,0
4370005,2/1/24,4/24/24,4/15/24,16,4.8768,-0.1,-5.3,7.6,31.82,22.46,45.68,0,0
4370015,2/1/24,4/14/24,4/9/24,18,5.4864,2.3,-3,5.9,36.14,26.6,42.62,0,0
4370011,2/1/24,4/17/24,4/13/24,15,4.572,2.3,-3,5.9,36.14,26.6,42.62,0,0
5370001,2/1/24,4/28/24,4/23/24,13,3.9624,,,,32,32,32,,0
5370002,2/1/24,4/27/24,4/23/24,14,4.2672,,,,32,32,32,,0
5370003,2/1/24,5/2/24,4/28/24,15,4.572,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370006,2/1/24,5/7/24,5/1/24,12,3.6576,,,,32,32,32,,0
5370007,2/1/24,4/22/24,4/16/24,18,5.4864,-0.7,-3.5,6.4,30.74,25.7,43.52,4.4,0.17322844
5370023,2/1/24,4/28/24,4/23/24,15,4.572,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370021,2/1/24,4/25/24,4/20/24,16,4.8768,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370026,2/1/24,4/19/24,4/13/24,19,5.7912,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370027,2/1/24,4/27/24,4/23/24,15,4.572,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370028,2/1/24,4/25/24,4/22/24,15,4.572,0.8,-3.3,6.9,33.44,26.06,44.42,3.1,0.12204731
5370010,2/1/24,4/24/24,4/20/24,16,4.8768,,,,32,32,32,,0
5370011,2/1/24,4/26/24,4/21/24,16,4.8768,,,,32,32,32,,0
5370012,2/1/24,4/24/24,4/17/24,16,4.8768,,,,32,32,32,,0
5370013,2/1/24,4/22/24,4/17/24,14,4.2672,0.8,-3.3,6.9,33.44,26.06,44.42,3.1,0.12204731
5370014,2/1/24,4/28/24,4/24/24,15,4.572,-1.8,-6,3.8,28.76,21.2,38.84,2.3,0.09055123
5370015,2/1/24,4/18/24,4/12/24,14,4.2672,,,,32,32,32,,0
5370016,2/1/24,4/18/24,4/13/24,19,5.7912,-0.3,-5,5.7,31.46,23,42.26,3.6,0.14173236
5370017,2/1/24,4/26/24,4/22/24,13,3.9624,-0.3,-5,5.7,31.46,23,42.26,3.6,0.14173236
5370018,2/1/24,4/26/24,4/22/24,14,4.2672,-0.3,-5,5.7,31.46,23,42.26,3.6,0.14173236
5370020,2/1/24,4/27/24,4/21/24,12,3.6576,0.8,-3.3,6.9,33.44,26.06,44.42,3.1,0.12204731
6370001,2/1/24,4/21/24,4/14/24,18,5.4864,1.5,-3.9,5,34.7,24.98,41,0,0
6370002,2/1/24,4/22/24,4/15/24,18,5.4864,1.5,-3.9,5,34.7,24.98,41,0,0
6370003,2/1/24,4/22/24,4/17/24,18,5.4864,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370021,2/1/24,4/17/24,4/13/24,17,5.1816,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370022,2/1/24,4/20/24,4/15/24,19,5.7912,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370025,2/1/24,4/23/24,4/19/24,16,4.8768,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370029,2/1/24,4/20/24,4/16/24,15,4.572,2.8,-1.1,8.2,37.04,30.02,46.76,3.9,0.15354339
6370030,2/1/24,4/14/24,4/9/24,16,4.8768,1.9,-2.8,7.1,35.42,26.96,44.78,5.5,0.21653555
6370031,2/1/24,4/19/24,4/12/24,15,4.572,1.9,-2.8,7.1,35.42,26.96,44.78,5.5,0.21653555
6370006,2/1/24,4/20/24,4/15/24,17,5.1816,,,,32,32,32,,0
6370007,2/1/24,4/21/24,4/14/24,19,5.7912,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370008,2/1/24,4/17/24,4/11/24,17,5.1816,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370009,2/1/24,4/17/24,4/12/24,16,4.8768,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370010,2/1/24,4/15/24,4/10/24,17,5.1816,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
6370011,2/1/24,4/14/24,4/8/24,17,5.1816,1.5,-3.9,5,34.7,24.98,41,0,0
6370012,2/1/24,4/22/24,4/16/24,18,5.4864,1.5,-3.9,5,34.7,24.98,41,0,0
6370013,2/1/24,4/23/24,4/17/24,18,5.4864,-1.3,-5,3.6,29.66,23,38.48,3,0.1181103
6370014,2/1/24,4/19/24,4/12/24,20,6.096,1.5,-3.9,5,34.7,24.98,41,0,0
6370015,2/1/24,4/18/24,4/13/24,17,5.1816,2.8,-1.1,8.2,37.04,30.02,46.76,3.9,0.15354339
6370016,2/1/24,4/15/24,4/9/24,16,4.8768,2.8,-1.1,8.2,37.04,30.02,46.76,3.9,0.15354339
6370017,2/1/24,4/21/24,4/16/24,13,3.9624,2.8,-1.1,8.2,37.04,30.02,46.76,3.9,0.15354339
6370018,2/1/24,4/16/24,4/10/24,16,4.8768,1.9,-2.8,7.1,35.42,26.96,44.78,5.5,0.21653555
6370026,2/1/24,4/19/24,4/14/24,18,5.4864,-0.2,-3.1,5.6,31.64,26.42,42.08,0,0
7370002,2/1/24,4/11/24,4/6/24,19,5.7912,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370003,2/1/24,4/10/24,4/5/24,19,5.7912,3.3,-2,6.1,37.94,28.4,42.98,,0
7370006,2/1/24,4/22/24,4/16/24,17,5.1816,2.7,-2,7,36.86,28.4,44.6,0,0
7370008,2/1/24,4/14/24,4/9/24,17,5.1816,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370012,2/1/24,4/14/24,4/9/24,16,4.8768,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370013,2/1/24,4/7/24,3/31/24,20,6.096,,,,32,32,32,,0
7370041,2/1/24,4/13/24,4/7/24,17,5.1816,2.7,-2,7,36.86,28.4,44.6,0,0
7370035,2/1/24,4/6/24,3/29/24,22,6.7056,3.3,-2,6.1,37.94,28.4,42.98,,0
7370036,2/1/24,4/15/24,4/9/24,18,5.4864,2.7,-2,7,36.86,28.4,44.6,0,0
7370048,2/1/24,4/14/24,4/9/24,17,5.1816,2.7,-2,7,36.86,28.4,44.6,0,0
7370051,2/1/24,4/14/24,4/9/24,18,5.4864,2.7,-2,7,36.86,28.4,44.6,0,0
7370069,2/1/24,4/11/24,4/4/24,20,6.096,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370074,2/1/24,4/15/24,4/12/24,19,5.7912,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370075,2/1/24,4/21/24,4/17/24,17,5.1816,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370022,2/1/24,4/12/24,4/7/24,19,5.7912,2.7,-2,7,36.86,28.4,44.6,0,0
7370024,2/1/24,4/12/24,4/8/24,18,5.4864,3.3,-2,6.1,37.94,28.4,42.98,0,0
7370025,2/1/24,4/12/24,4/7/24,19,5.7912,3.3,-2,6.1,37.94,28.4,42.98,,0
7370026,2/1/24,4/20/24,4/15/24,17,5.1816,3.3,-2,6.1,37.94,28.4,42.98,,0
7370055,2/1/24,4/17/24,4/12/24,17,5.1816,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370029,2/1/24,4/16/24,4/11/24,17,5.1816,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370040,2/1/24,4/20/24,4/15/24,18,5.4864,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370058,2/1/24,4/14/24,4/9/24,17,5.1816,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370059,2/1/24,4/16/24,4/12/24,17,5.1816,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370061,2/1/24,4/13/24,4/9/24,18,5.4864,2.7,-2,7,36.86,28.4,44.6,0,0
7370064,2/1/24,4/21/24,4/18/24,16,4.8768,2.7,-2,7,36.86,28.4,44.6,0,0
7370070,2/1/24,4/10/24,4/3/24,19,5.7912,,,,32,32,32,,0
7370076,2/1/24,4/8/24,3/31/24,20,6.096,,,,32,32,32,,0
7370077,2/1/24,4/8/24,4/1/24,19,5.7912,5,-1.2,11,41,29.84,51.8,0,0
7370073,2/1/24,4/10/24,4/3/24,15,4.572,5.2,0.9,14,41.36,33.62,57.2,0,0
7370079,2/1/24,4/6/24,3/31/24,17,5.1816,5.2,0.9,14,41.36,33.62,57.2,0,0
7370030,2/1/24,4/12/24,4/6/24,18,5.4864,,,,32,32,32,,0
7370031,2/1/24,4/6/24,3/30/24,17,5.1816,5.2,0.9,14,41.36,33.62,57.2,0,0
7370032,2/1/24,4/10/24,4/2/24,17,5.1816,5.2,0.9,14,41.36,33.62,57.2,0,0
7370057,2/1/24,4/6/24,3/31/24,16,4.8768,5.2,0.9,14,41.36,33.62,57.2,0,0
7370033,2/1/24,4/14/24,4/9/24,16,4.8768,1.8,-3.4,11,35.24,25.88,51.8,0,0
7370014,2/1/24,4/11/24,4/5/24,15,4.572,,,,32,32,32,,0
7370043,2/1/24,5/3/24,4/28/24,15,4.572,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370045,2/1/24,4/29/24,4/23/24,15,4.572,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370046,2/1/24,5/9/24,5/2/24,16,4.8768,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370028,2/1/24,4/29/24,4/24/24,15,4.572,1,-3.2,4.1,33.8,26.24,39.38,1.5,0.05905515
7370004,2/1/24,4/14/24,4/7/24,13,3.9624,,,,32,32,32,,0
13370001,2/1/24,4/1/24,3/23/24,16,4.8768,7.2,2.1,16,44.96,35.78,60.8,0,0
13370003,2/1/24,3/31/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370005,2/1/24,4/4/24,3/29/24,15,4.572,8.8,3,19,47.84,37.4,66.2,0,0
13370051,2/1/24,3/31/24,3/24/24,12,3.6576,7.6,1.7,16,45.68,35.06,60.8,0,0
13370028,2/1/24,4/4/24,3/28/24,0,0,10.9,6,16,51.62,42.8,60.8,0,0
13370060,2/1/24,4/1/24,3/24/24,13,3.9624,7.6,1.7,16,45.68,35.06,60.8,0,0
13370029,2/1/24,3/31/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370031,2/1/24,3/30/24,3/22/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370054,2/1/24,4/2/24,3/26/24,7,2.1336,10.6,6.2,16,51.08,43.16,60.8,1.1,0.04330711
13370006,2/1/24,4/1/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370007,2/1/24,3/29/24,3/21/24,13,3.9624,7.6,1.7,16,45.68,35.06,60.8,0,0
13370008,2/1/24,3/29/24,3/22/24,12,3.6576,7.6,1.7,16,45.68,35.06,60.8,0,0
13370009,2/1/24,4/3/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370010,2/1/24,4/1/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370011,2/1/24,3/29/24,3/21/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370012,2/1/24,4/1/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370013,2/1/24,3/29/24,3/22/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370014,2/1/24,4/3/24,3/26/24,7,2.1336,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370015,2/1/24,4/13/24,4/5/24,5,1.524,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370016,2/1/24,4/2/24,3/26/24,7,2.1336,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370032,2/1/24,4/3/24,3/26/24,12,3.6576,7.6,1.7,16,45.68,35.06,60.8,0,0
13370033,2/1/24,4/4/24,3/27/24,14,4.2672,7.2,2.1,16,44.96,35.78,60.8,0,0
13370034,2/1/24,3/28/24,3/21/24,13,3.9624,7.6,1.7,16,45.68,35.06,60.8,0,0
13370055,2/1/24,3/31/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370056,2/1/24,3/28/24,3/21/24,13,3.9624,7.6,1.7,16,45.68,35.06,60.8,0,0
13370058,2/1/24,3/31/24,3/22/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370017,2/1/24,4/1/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370040,2/1/24,4/1/24,3/24/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370018,2/1/24,3/30/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370035,2/1/24,4/1/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370036,2/1/24,4/1/24,3/24/24,10,3.048,8.1,4.1,15,46.58,39.38,59,1.1,0.04330711
13370037,2/1/24,4/2/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370020,2/1/24,3/27/24,3/20/24,14,4.2672,7.6,1.7,16,45.68,35.06,60.8,0,0
13370021,2/1/24,4/1/24,3/25/24,13,3.9624,7.6,1.7,16,45.68,35.06,60.8,0,0
13370022,2/1/24,3/31/24,3/25/24,14,4.2672,7.4,1.7,13.6,45.32,35.06,56.48,0,0
13370023,2/1/24,4/3/24,3/27/24,15,4.572,8.8,3,19,47.84,37.4,66.2,0,0
13370024,2/1/24,4/9/24,4/2/24,23,7.0104,4.9,-1,15.9,40.82,30.2,60.62,0,0
13370042,2/1/24,3/30/24,3/23/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370044,2/1/24,4/1/24,3/25/24,11,3.3528,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370045,2/1/24,4/2/24,3/26/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370046,2/1/24,4/2/24,3/26/24,11,3.3528,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370047,2/1/24,4/1/24,3/23/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370057,2/1/24,3/31/24,3/24/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370061,2/1/24,4/1/24,3/29/24,15,4.572,8.8,3,19,47.84,37.4,66.2,0,0
13370062,2/1/24,4/2/24,3/26/24,15,4.572,8.8,3,19,47.84,37.4,66.2,0,0
13370004,2/1/24,4/2/24,3/26/24,15,4.572,8.7,2.5,15.1,47.66,36.5,59.18,0,0
13370019,2/1/24,4/1/24,3/21/24,10,3.048,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370043,2/1/24,3/30/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370050,2/1/24,3/30/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370049,2/1/24,3/31/24,3/25/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370052,2/1/24,3/31/24,3/24/24,8,2.4384,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370038,2/1/24,4/1/24,3/23/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
13370053,2/1/24,4/1/24,3/27/24,7,2.1336,10.6,6.2,16,51.08,43.16,60.8,1.1,0.04330711
13370048,2/1/24,3/30/24,3/22/24,9,2.7432,10,6.5,14.6,50,43.7,58.28,1.3,0.05118113
8370004,2/1/24,4/3/24,3/28/24,16,4.8768,8.2,1,17,46.76,33.8,62.6,0,0
8370007,2/1/24,4/3/24,3/27/24,16,4.8768,8.1,2.8,16,46.58,37.04,60.8,0,0
8370008,2/1/24,4/4/24,3/28/24,15,4.572,8.2,4.2,15.3,46.76,39.56,59.54,1.7,0.06692917
8370009,2/1/24,4/4/24,3/27/24,16,4.8768,8.1,2.8,16,46.58,37.04,60.8,0,0
8370010,2/1/24,4/5/24,3/28/24,19,5.7912,5.9,0.7,13,42.62,33.26,55.4,0,0
8370011,2/1/24,4/5/24,3/27/24,20,6.096,5.9,0.7,13,42.62,33.26,55.4,0,0
8370012,2/1/24,4/5/24,3/28/24,19,5.7912,5.9,0.7,13,42.62,33.26,55.4,0,0
8370020,2/1/24,4/1/24,3/23/24,24,7.3152,5,-0.6,16,41,30.92,60.8,0,0
8370024,2/1/24,4/4/24,3/27/24,17,5.1816,5.9,0.7,13,42.62,33.26,55.4,0,0
8370025,2/1/24,4/2/24,3/28/24,18,5.4864,5.9,0.7,13,42.62,33.26,55.4,0,0
8370026,2/1/24,4/4/24,3/27/24,11,3.3528,12,6.8,15,53.6,44.24,59,1.6,0.06299216
8370027,2/1/24,4/3/24,3/28/24,16,4.8768,8.1,2.8,16,46.58,37.04,60.8,0,0
8370022,2/1/24,4/3/24,3/27/24,14,4.2672,8.2,1,17,46.76,33.8,62.6,0,0
8370028,2/1/24,4/5/24,3/31/24,12,3.6576,8.2,1,17,46.76,33.8,62.6,0,0
8370029,2/1/24,4/8/24,3/31/24,10,3.048,5.9,0.7,13,42.62,33.26,55.4,0,0
8370013,2/1/24,4/9/24,4/1/24,10,3.048,5.9,0.7,13,42.62,33.26,55.4,0,0
8370014,2/1/24,4/3/24,3/27/24,13,3.9624,8.1,2.8,16,46.58,37.04,60.8,0,0
8370015,2/1/24,4/3/24,3/29/24,16,4.8768,8.1,2.8,16,46.58,37.04,60.8,0,0
8370016,2/1/24,4/2/24,3/25/24,22,6.7056,8.2,1,17,46.76,33.8,62.6,0,0
8370021,2/1/24,4/3/24,3/26/24,19,5.7912,5.9,0.7,13,42.62,33.26,55.4,0,0
8370017,2/1/24,4/20/24,4/12/24,13,3.9624,5.9,0.7,13,42.62,33.26,55.4,0,0
8370018,2/1/24,4/8/24,4/2/24,9,2.7432,5.9,0.7,13,42.62,33.26,55.4,0,0
8370019,2/1/24,4/4/24,3/25/24,17,5.1816,5,-0.6,16,41,30.92,60.8,0,0
8370033,2/1/24,4/8/24,4/2/24,9,2.7432,5.2,0.9,14,41.36,33.62,57.2,0,0
8370006,2/1/24,4/13/24,4/6/24,10,3.048,,,,32,32,32,,0
8370002,2/1/24,4/6/24,3/28/24,18,5.4864,5,-0.6,16,41,30.92,60.8,0,0
9370002,2/1/24,4/3/24,3/28/24,15,4.572,5,-0.6,16,41,30.92,60.8,0,0
